col_0,col_1,col_2,col_3,col_4,col_5,col_6,suggested_move
oobbbb,xoxbbb,xxxoxo,xbbbbb,oxoxox,oooxxo,xoxbbb,1
oobbbb,xoxoxb,xxxoxo,xbbbbb,oxoxox,oooxxo,xoxbbb,6
oobbbb,xoxoxx,xxxoxo,xbbbbb,oxoxox,oooxxo,xoxobb,6
oobbbb,xoxoxx,xxxoxo,xbbbbb,oxoxox,oooxxo,xoxoox,3
xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,2
xbbbbb,bbbbbb,obbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,2
xxbbbb,bbbbbb,oobbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,2
xxbbbb,bbbbbb,oooxbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,2
xxxbbb,bbbbbb,oooxob,bbbbbb,bbbbbb,xbbbbb,bbbbbb,0
xxxobb,bbbbbb,oooxox,bbbbbb,bbbbbb,xbbbbb,bbbbbb,0
xxxoox,bbbbbb,oooxox,bbbbbb,bbbbbb,xbbbbb,bbbbbb,4
xxxoox,bbbbbb,oooxox,xbbbbb,obbbbb,xbbbbb,bbbbbb,4
xxxoox,bbbbbb,oooxox,xxbbbb,oobbbb,xbbbbb,bbbbbb,4
xxxoox,bbbbbb,oooxox,xxbbbb,oooxbb,xbbbbb,bbbbbb,5
xxxoox,bbbbbb,oooxox,xxbbbb,oooxbb,xoxbbb,bbbbbb,5
xxxoox,bbbbbb,oooxox,xxbbbb,oooxxb,xoxobb,bbbbbb,6
xxxoox,bbbbbb,oooxox,xxbbbb,oooxxb,xoxobb,oxbbbb,5
xxxoox,xbbbbb,oooxox,xxbbbb,oooxxb,xoxoob,oxbbbb,4
xxxoox,xbbbbb,oooxox,xxbbbb,oooxxo,xoxoox,oxbbbb,6
xxxoox,xbbbbb,oooxox,xxbbbb,oooxxo,xoxoox,oxoxbb,6
xxxoox,xxbbbb,oooxox,xxbbbb,oooxxo,xoxoox,oxoxob,3
xxxoox,xxxbbb,oooxox,xxobbb,oooxxo,xoxoox,oxoxob,3
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,5
bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,obbbbb,xbbbbb,3
bbbbbb,bbbbbb,bbbbbb,xoxbbb,bbbbbb,obbbbb,xbbbbb,3
bbbbbb,bbbbbb,bbbbbb,xoxoxb,bbbbbb,obbbbb,xbbbbb,3
bbbbbb,bbbbbb,xbbbbb,xoxoxo,bbbbbb,obbbbb,xbbbbb,1
bbbbbb,obbbbb,xbbbbb,xoxoxo,xbbbbb,obbbbb,xbbbbb,0
obbbbb,obbbbb,xbbbbb,xoxoxo,xbbbbb,oxbbbb,xbbbbb,1
oxbbbb,oobbbb,xbbbbb,xoxoxo,xbbbbb,oxbbbb,xbbbbb,2
oxbbbb,oobbbb,xoxbbb,xoxoxo,xbbbbb,oxbbbb,xbbbbb,4
bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,1
bbbbbb,obbbbb,bbbbbb,bbbbbb,xxbbbb,bbbbbb,bbbbbb,4
xbbbbb,obbbbb,bbbbbb,bbbbbb,xxobbb,bbbbbb,bbbbbb,4
xbbbbb,obbbbb,bbbbbb,bbbbbb,xxooxb,bbbbbb,bbbbbb,4
xxbbbb,obbbbb,bbbbbb,bbbbbb,xxooxo,bbbbbb,bbbbbb,0
xxoxbb,obbbbb,bbbbbb,bbbbbb,xxooxo,bbbbbb,bbbbbb,0
xxoxox,obbbbb,bbbbbb,bbbbbb,xxooxo,bbbbbb,bbbbbb,6
xxoxox,obbbbb,bbbbbb,bbbbbb,xxooxo,xbbbbb,obbbbb,3
xxoxox,obbbbb,bbbbbb,oxbbbb,xxooxo,xbbbbb,obbbbb,5
xxoxox,oxbbbb,bbbbbb,oxbbbb,xxooxo,xobbbb,obbbbb,3
xxoxox,oxbbbb,bbbbbb,oxoxbb,xxooxo,xobbbb,obbbbb,5
xxoxox,oxbbbb,bbbbbb,oxoxxb,xxooxo,xoobbb,obbbbb,3
xxoxox,oxbbbb,bbbbbb,oxoxxo,xxooxo,xooxbb,obbbbb,5
xxoxox,oxxbbb,bbbbbb,oxoxxo,xxooxo,xooxob,obbbbb,5
xxoxox,oxxxbb,bbbbbb,oxoxxo,xxooxo,xooxoo,obbbbb,1
xxoxox,oxxxox,bbbbbb,oxoxxo,xxooxo,xooxoo,obbbbb,6
xxoxox,oxxxox,bbbbbb,oxoxxo,xxooxo,xooxoo,ooxbbb,6
xxoxox,oxxxox,bbbbbb,oxoxxo,xxooxo,xooxoo,ooxoxb,6
bbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,4
bbbbbb,xbbbbb,xbbbbb,bbbbbb,obbbbb,bbbbbb,bbbbbb,0
obbbbb,xbbbbb,xbbbbb,xbbbbb,obbbbb,bbbbbb,bbbbbb,6
obbbbb,xbbbbb,xxbbbb,xbbbbb,obbbbb,bbbbbb,obbbbb,2
oxbbbb,xbbbbb,xxobbb,xbbbbb,obbbbb,bbbbbb,obbbbb,2
oxbbbb,xbbbbb,xxoobb,xxbbbb,obbbbb,bbbbbb,obbbbb,1
oxbbbb,xobbbb,xxooxb,xxbbbb,obbbbb,bbbbbb,obbbbb,3
oxbbbb,xobbbb,xxooxb,xxoxbb,obbbbb,bbbbbb,obbbbb,1
oxxbbb,xoobbb,xxooxb,xxoxbb,obbbbb,bbbbbb,obbbbb,4
oxxbbb,xoobbb,xxooxb,xxoxbb,oobbbb,xbbbbb,obbbbb,4
bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,5
bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,oxbbbb,bbbbbb,3
bbbbbb,bbbbbb,bbbbbb,xoxbbb,bbbbbb,oxbbbb,bbbbbb,3
bbbbbb,xbbbbb,bbbbbb,xoxobb,bbbbbb,oxbbbb,bbbbbb,3
bbbbbb,xbbbbb,xbbbbb,xoxoob,bbbbbb,oxbbbb,bbbbbb,0
bbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,5
bbbbbb,xxbbbb,bbbbbb,bbbbbb,bbbbbb,obbbbb,bbbbbb,6
bbbbbb,xxxbbb,bbbbbb,bbbbbb,bbbbbb,obbbbb,obbbbb,1
bbbbbb,xxxoxb,bbbbbb,bbbbbb,bbbbbb,obbbbb,obbbbb,4
bbbbbb,xxxoxb,bbbbbb,xbbbbb,obbbbb,obbbbb,obbbbb,1
xbbbbb,xxxoxo,bbbbbb,xbbbbb,obbbbb,obbbbb,obbbbb,2
xxbbbb,xxxoxo,obbbbb,xbbbbb,obbbbb,obbbbb,obbbbb,6
xxxbbb,xxxoxo,obbbbb,xbbbbb,obbbbb,obbbbb,oobbbb,0
xxxobb,xxxoxo,obbbbb,xxbbbb,obbbbb,obbbbb,oobbbb,2
xxxobb,xxxoxo,oobbbb,xxxbbb,obbbbb,obbbbb,oobbbb,3
bbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,1
bbbbbb,obbbbb,xbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,4
xbbbbb,obbbbb,xbbbbb,xbbbbb,obbbbb,bbbbbb,bbbbbb,5
xbbbbb,oxbbbb,xbbbbb,xbbbbb,obbbbb,obbbbb,bbbbbb,6
xbbbbb,oxbbbb,xxbbbb,xbbbbb,obbbbb,obbbbb,obbbbb,2
xbbbbb,oxbbbb,xxobbb,xxbbbb,obbbbb,obbbbb,obbbbb,0
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,4
bbbbbb,bbbbbb,bbbbbb,bbbbbb,obbbbb,xbbbbb,xbbbbb,3
bbbbbb,bbbbbb,xbbbbb,obbbbb,obbbbb,xbbbbb,xbbbbb,5
bbbbbb,bbbbbb,xbbbbb,obbbbb,oxbbbb,xobbbb,xbbbbb,2
bbbbbb,bbbbbb,xobbbb,obbbbb,oxxbbb,xobbbb,xbbbbb,4
bbbbbb,bbbbbb,xobbbb,obbbbb,oxxoxb,xobbbb,xbbbbb,1
bbbbbb,obbbbb,xobbbb,obbbbb,oxxoxb,xobbbb,xxbbbb,3
bbbbbb,obbbbb,xobbbb,ooxbbb,oxxoxb,xobbbb,xxbbbb,6
bbbbbb,obbbbb,xoxbbb,ooxbbb,oxxoxb,xobbbb,xxobbb,2
bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,3
bbbbbb,bbbbbb,bbbbbb,obbbbb,xxbbbb,bbbbbb,bbbbbb,4
bbbbbb,xbbbbb,bbbbbb,obbbbb,xxobbb,bbbbbb,bbbbbb,4
bbbbbb,xbbbbb,bbbbbb,obbbbb,xxooxb,bbbbbb,bbbbbb,4
bbbbbb,xbbbbb,bbbbbb,obbbbb,xxooxo,xbbbbb,bbbbbb,0
obbbbb,xxbbbb,bbbbbb,obbbbb,xxooxo,xbbbbb,bbbbbb,3
obbbbb,xxxbbb,bbbbbb,oobbbb,xxooxo,xbbbbb,bbbbbb,1
obbbbb,xxxobb,bbbbbb,ooxbbb,xxooxo,xbbbbb,bbbbbb,1
obbbbb,xxxoox,bbbbbb,ooxbbb,xxooxo,xbbbbb,bbbbbb,3
obbbbb,xxxoox,bbbbbb,ooxobb,xxooxo,xxbbbb,bbbbbb,3
oxbbbb,xxxoox,bbbbbb,ooxoob,xxooxo,xxbbbb,bbbbbb,5
oxbbbb,xxxoox,bbbbbb,ooxoob,xxooxo,xxoxbb,bbbbbb,3
oxbbbb,xxxoox,xbbbbb,ooxooo,xxooxo,xxoxbb,bbbbbb,0
oxobbb,xxxoox,xbbbbb,ooxooo,xxooxo,xxoxxb,bbbbbb,5
oxoxbb,xxxoox,xbbbbb,ooxooo,xxooxo,xxoxxo,bbbbbb,0
oxoxob,xxxoox,xbbbbb,ooxooo,xxooxo,xxoxxo,xbbbbb,6
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,1
bbbbbb,obbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xxbbbb,3
bbbbbb,obbbbb,bbbbbb,obbbbb,bbbbbb,bbbbbb,xxxbbb,6
bbbbbb,obbbbb,bbbbbb,obbbbb,bbbbbb,bbbbbb,xxxoxb,2
xbbbbb,obbbbb,obbbbb,obbbbb,bbbbbb,bbbbbb,xxxoxb,4
bbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,6
bbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,obbbbb,6
bbbbbb,xxbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,oobbbb,6
bbbbbb,xxbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,oooxbb,6
bbbbbb,xxxbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,oooxob,1
bbbbbb,xxxobb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,oooxox,1
bbbbbb,xxxoox,bbbbbb,bbbbbb,bbbbbb,xbbbbb,oooxox,3
xbbbbb,xxxoox,bbbbbb,obbbbb,bbbbbb,xbbbbb,oooxox,5
xxbbbb,xxxoox,bbbbbb,obbbbb,bbbbbb,xobbbb,oooxox,0
xxobbb,xxxoox,bbbbbb,oxbbbb,bbbbbb,xobbbb,oooxox,0
xxooxb,xxxoox,bbbbbb,oxbbbb,bbbbbb,xobbbb,oooxox,0
xxooxo,xxxoox,bbbbbb,oxbbbb,xbbbbb,xobbbb,oooxox,5
xxooxo,xxxoox,bbbbbb,oxbbbb,xbbbbb,xooxbb,oooxox,3
xxooxo,xxxoox,bbbbbb,oxoxbb,xbbbbb,xooxbb,oooxox,5
xxooxo,xxxoox,xbbbbb,oxoxbb,xbbbbb,xooxob,oooxox,3
bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,1
bbbbbb,obbbbb,bbbbbb,xbbbbb,bbbbbb,xbbbbb,bbbbbb,3
bbbbbb,obbbbb,bbbbbb,xobbbb,xbbbbb,xbbbbb,bbbbbb,2
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,0
obbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,1
obbbbb,obbbbb,xbbbbb,bbbbbb,xbbbbb,xbbbbb,bbbbbb,3
obbbbb,obbbbb,xxbbbb,obbbbb,xbbbbb,xbbbbb,bbbbbb,5
obbbbb,obbbbb,xxxbbb,obbbbb,xbbbbb,xobbbb,bbbbbb,2
obbbbb,obbbbb,xxxoxb,obbbbb,xbbbbb,xobbbb,bbbbbb,2
obbbbb,obbbbb,xxxoxo,obbbbb,xxbbbb,xobbbb,bbbbbb,5
obbbbb,obbbbb,xxxoxo,oxbbbb,xxbbbb,xoobbb,bbbbbb,1
obbbbb,oobbbb,xxxoxo,oxbbbb,xxxbbb,xoobbb,bbbbbb,4
bbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,6
bbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,oxbbbb,0
obbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,oxxbbb,6
obbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,oxxoxb,6
obbbbb,xxbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,oxxoxo,1
obbbbb,xxoxbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,oxxoxo,1
obbbbb,xxoxox,bbbbbb,bbbbbb,bbbbbb,bbbbbb,oxxoxo,5
obbbbb,xxoxox,bbbbbb,xbbbbb,bbbbbb,obbbbb,oxxoxo,2
oxbbbb,xxoxox,obbbbb,xbbbbb,bbbbbb,obbbbb,oxxoxo,3
oxbbbb,xxoxox,obbbbb,xoxbbb,bbbbbb,obbbbb,oxxoxo,3
oxbbbb,xxoxox,obbbbb,xoxoxb,bbbbbb,obbbbb,oxxoxo,4
oxbbbb,xxoxox,oxbbbb,xoxoxb,obbbbb,obbbbb,oxxoxo,5
oxbbbb,xxoxox,oxbbbb,xoxoxb,obbbbb,ooxbbb,oxxoxo,2
oxbbbb,xxoxox,oxobbb,xoxoxb,obbbbb,ooxxbb,oxxoxo,5
oxxbbb,xxoxox,oxobbb,xoxoxb,obbbbb,ooxxob,oxxoxo,2
oxxbbb,xxoxox,oxooxb,xoxoxb,obbbbb,ooxxob,oxxoxo,3
oxxbbb,xxoxox,oxooxx,xoxoxo,obbbbb,ooxxob,oxxoxo,0
oxxobb,xxoxox,oxooxx,xoxoxo,obbbbb,ooxxox,oxxoxo,0
oxxoox,xxoxox,oxooxx,xoxoxo,obbbbb,ooxxox,oxxoxo,4
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,1
bbbbbb,oxbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,3
bbbbbb,oxbbbb,bbbbbb,obbbbb,bbbbbb,xxbbbb,bbbbbb,2
bbbbbb,oxbbbb,obbbbb,obbbbb,xbbbbb,xxbbbb,bbbbbb,0
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,5
bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,xobbbb,bbbbbb,6
bbbbbb,bbbbbb,bbbbbb,xbbbbb,xbbbbb,xobbbb,obbbbb,2
xbbbbb,bbbbbb,obbbbb,xbbbbb,xbbbbb,xobbbb,obbbbb,4
xxbbbb,bbbbbb,obbbbb,xbbbbb,xobbbb,xobbbb,obbbbb,3
xxbbbb,bbbbbb,oxbbbb,xobbbb,xobbbb,xobbbb,obbbbb,6
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,6
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xoxbbb,6
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xoxoxb,6
bbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xoxoxo,1
bbbbbb,xobbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,xoxoxo,4
bbbbbb,xobbbb,xbbbbb,xbbbbb,obbbbb,bbbbbb,xoxoxo,0
obbbbb,xobbbb,xbbbbb,xxbbbb,obbbbb,bbbbbb,xoxoxo,1
obbbbb,xoobbb,xbbbbb,xxxbbb,obbbbb,bbbbbb,xoxoxo,3
obbbbb,xooxbb,xbbbbb,xxxobb,obbbbb,bbbbbb,xoxoxo,2
obbbbb,xooxbb,xoxbbb,xxxobb,obbbbb,bbbbbb,xoxoxo,1
obbbbb,xooxox,xoxbbb,xxxobb,obbbbb,bbbbbb,xoxoxo,3
oxbbbb,xooxox,xoxbbb,xxxoob,obbbbb,bbbbbb,xoxoxo,4
oxbbbb,xooxox,xoxbbb,xxxoob,ooxbbb,bbbbbb,xoxoxo,2
oxbbbb,xooxox,xoxobb,xxxoob,ooxbbb,xbbbbb,xoxoxo,4
oxbbbb,xooxox,xoxoxb,xxxoob,ooxobb,xbbbbb,xoxoxo,0
oxobbb,xooxox,xoxoxx,xxxoob,ooxobb,xbbbbb,xoxoxo,3
oxoxbb,xooxox,xoxoxx,xxxooo,ooxobb,xbbbbb,xoxoxo,0
oxoxox,xooxox,xoxoxx,xxxooo,ooxobb,xbbbbb,xoxoxo,4
oxoxox,xooxox,xoxoxx,xxxooo,ooxoox,xbbbbb,xoxoxo,5
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,3
bbbbbb,bbbbbb,xbbbbb,obbbbb,bbbbbb,xbbbbb,bbbbbb,5
bbbbbb,bbbbbb,xbbbbb,obbbbb,bbbbbb,xoxbbb,bbbbbb,5
bbbbbb,bbbbbb,xxbbbb,obbbbb,bbbbbb,xoxobb,bbbbbb,5
bbbbbb,bbbbbb,xxxbbb,obbbbb,bbbbbb,xoxoob,bbbbbb,2
bbbbbb,bbbbbb,xxxobb,obbbbb,bbbbbb,xoxoox,bbbbbb,2
bbbbbb,bbbbbb,xxxoox,obbbbb,bbbbbb,xoxoox,bbbbbb,4
xbbbbb,bbbbbb,xxxoox,obbbbb,obbbbb,xoxoox,bbbbbb,3
xbbbbb,bbbbbb,xxxoox,ooxbbb,obbbbb,xoxoox,bbbbbb,3
xxbbbb,bbbbbb,xxxoox,ooxobb,obbbbb,xoxoox,bbbbbb,0
xxobbb,xbbbbb,xxxoox,ooxobb,obbbbb,xoxoox,bbbbbb,0
xxooxb,xbbbbb,xxxoox,ooxobb,obbbbb,xoxoox,bbbbbb,1
xxooxx,xobbbb,xxxoox,ooxobb,obbbbb,xoxoox,bbbbbb,6
xxooxx,xobbbb,xxxoox,ooxobb,obbbbb,xoxoox,oxbbbb,6
xxooxx,xobbbb,xxxoox,ooxobb,obbbbb,xoxoox,oxoxbb,1
xxooxx,xooxbb,xxxoox,ooxobb,obbbbb,xoxoox,oxoxbb,6
xxooxx,xooxbb,xxxoox,ooxobb,obbbbb,xoxoox,oxoxox,3
xxooxx,xooxbb,xxxoox,ooxoox,obbbbb,xoxoox,oxoxox,4
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,4
bbbbbb,xbbbbb,bbbbbb,bbbbbb,obbbbb,bbbbbb,xbbbbb,5
bbbbbb,xbbbbb,bbbbbb,bbbbbb,obbbbb,obbbbb,xxbbbb,2
bbbbbb,xbbbbb,obbbbb,xbbbbb,obbbbb,obbbbb,xxbbbb,6
bbbbbb,xbbbbb,obbbbb,xbbbbb,obbbbb,obbbbb,xxoxbb,6
bbbbbb,xbbbbb,obbbbb,xbbbbb,oxbbbb,obbbbb,xxoxob,3
bbbbbb,xbbbbb,obbbbb,xobbbb,oxbbbb,oxbbbb,xxoxob,5
bbbbbb,xbbbbb,obbbbb,xobbbb,oxxbbb,oxobbb,xxoxob,4
bbbbbb,xbbbbb,obbbbb,xoxbbb,oxxobb,oxobbb,xxoxob,3
bbbbbb,xbbbbb,obbbbb,xoxobb,oxxobb,oxobbb,xxoxox,3
bbbbbb,xbbbbb,obbbbb,xoxoox,oxxobb,oxobbb,xxoxox,4
bbbbbb,xxbbbb,obbbbb,xoxoox,oxxoob,oxobbb,xxoxox,4
xbbbbb,xxbbbb,obbbbb,xoxoox,oxxooo,oxobbb,xxoxox,1
xxbbbb,xxobbb,obbbbb,xoxoox,oxxooo,oxobbb,xxoxox,1
xxxbbb,xxoobb,obbbbb,xoxoox,oxxooo,oxobbb,xxoxox,0
xxxoxb,xxoobb,obbbbb,xoxoox,oxxooo,oxobbb,xxoxox,0
xxxoxo,xxooxb,obbbbb,xoxoox,oxxooo,oxobbb,xxoxox,1
xxxoxo,xxooxo,obbbbb,xoxoox,oxxooo,oxoxbb,xxoxox,5
xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,2
xbbbbb,bbbbbb,obbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,0
xoxbbb,bbbbbb,obbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,0
xoxobb,bbbbbb,obbbbb,xbbbbb,bbbbbb,bbbbbb,xbbbbb,0
xoxoob,bbbbbb,obbbbb,xbbbbb,bbbbbb,xbbbbb,xbbbbb,4
xoxoob,bbbbbb,obbbbb,xbbbbb,obbbbb,xxbbbb,xbbbbb,0
xoxooo,bbbbbb,obbbbb,xbbbbb,obbbbb,xxxbbb,xbbbbb,5
xoxooo,bbbbbb,obbbbb,xbbbbb,obbbbb,xxxoxb,xbbbbb,3
xoxooo,bbbbbb,obbbbb,xobbbb,obbbbb,xxxoxx,xbbbbb,2
xoxooo,bbbbbb,ooxbbb,xobbbb,obbbbb,xxxoxx,xbbbbb,2
xoxooo,bbbbbb,ooxobb,xoxbbb,obbbbb,xxxoxx,xbbbbb,3
xoxooo,bbbbbb,ooxobb,xoxoxb,obbbbb,xxxoxx,xbbbbb,1
xoxooo,oxbbbb,ooxobb,xoxoxb,obbbbb,xxxoxx,xbbbbb,1
xoxooo,oxoxbb,ooxobb,xoxoxb,obbbbb,xxxoxx,xbbbbb,2
xoxooo,oxoxbb,ooxoob,xoxoxb,obbbbb,xxxoxx,xxbbbb,1
xoxooo,oxoxox,ooxoob,xoxoxb,obbbbb,xxxoxx,xxbbbb,6
xoxooo,oxoxox,ooxoob,xoxoxb,obbbbb,xxxoxx,xxoxbb,6
bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,1
bbbbbb,obbbbb,xbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,4
bbbbbb,obbbbb,xbbbbb,bbbbbb,xobbbb,xbbbbb,bbbbbb,3
xbbbbb,obbbbb,xbbbbb,obbbbb,xobbbb,xbbbbb,bbbbbb,3
xxbbbb,obbbbb,xbbbbb,oobbbb,xobbbb,xbbbbb,bbbbbb,2
xxbbbb,oxbbbb,xobbbb,oobbbb,xobbbb,xbbbbb,bbbbbb,5
bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,4
bbbbbb,bbbbbb,bbbbbb,xxbbbb,obbbbb,bbbbbb,bbbbbb,3
bbbbbb,bbbbbb,xbbbbb,xxobbb,obbbbb,bbbbbb,bbbbbb,4
bbbbbb,xbbbbb,xbbbbb,xxobbb,oobbbb,bbbbbb,bbbbbb,0
obbbbb,xbbbbb,xbbbbb,xxoxbb,oobbbb,bbbbbb,bbbbbb,4
obbbbb,xbbbbb,xbbbbb,xxoxbb,oooxbb,bbbbbb,bbbbbb,3
obbbbb,xbbbbb,xbbbbb,xxoxob,oooxxb,bbbbbb,bbbbbb,3
obbbbb,xbbbbb,xbbbbb,xxoxoo,oooxxx,bbbbbb,bbbbbb,0
ooxbbb,xbbbbb,xbbbbb,xxoxoo,oooxxx,bbbbbb,bbbbbb,0
ooxobb,xxbbbb,xbbbbb,xxoxoo,oooxxx,bbbbbb,bbbbbb,1
ooxobb,xxoxbb,xbbbbb,xxoxoo,oooxxx,bbbbbb,bbbbbb,0
ooxoob,xxoxxb,xbbbbb,xxoxoo,oooxxx,bbbbbb,bbbbbb,5
ooxoob,xxoxxb,xbbbbb,xxoxoo,oooxxx,oxbbbb,bbbbbb,5
ooxoob,xxoxxb,xbbbbb,xxoxoo,oooxxx,oxoxbb,bbbbbb,0
ooxooo,xxoxxb,xbbbbb,xxoxoo,oooxxx,oxoxxb,bbbbbb,5
ooxooo,xxoxxb,xbbbbb,xxoxoo,oooxxx,oxoxxo,xbbbbb,1
ooxooo,xxoxxo,xxbbbb,xxoxoo,oooxxx,oxoxxo,xbbbbb,2
bbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,3
bbbbbb,xbbbbb,bbbbbb,obbbbb,bbbbbb,xbbbbb,bbbbbb,1
bbbbbb,xoxbbb,bbbbbb,obbbbb,bbbbbb,xbbbbb,bbbbbb,4
bbbbbb,xoxbbb,bbbbbb,oxbbbb,obbbbb,xbbbbb,bbbbbb,6
bbbbbb,xoxbbb,bbbbbb,oxbbbb,obbbbb,xxbbbb,obbbbb,4
bbbbbb,xoxbbb,bbbbbb,oxbbbb,oobbbb,xxxbbb,obbbbb,5
bbbbbb,xoxbbb,bbbbbb,oxbbbb,oobbbb,xxxoxb,obbbbb,4
bbbbbb,xoxbbb,bbbbbb,oxbbbb,oooxbb,xxxoxb,obbbbb,5
bbbbbb,xoxbbb,bbbbbb,oxxbbb,oooxbb,xxxoxo,obbbbb,4
bbbbbb,xoxbbb,bbbbbb,oxxxbb,oooxob,xxxoxo,obbbbb,3
bbbbbb,xoxbbb,xbbbbb,oxxxob,oooxob,xxxoxo,obbbbb,2
bbbbbb,xoxbbb,xobbbb,oxxxox,oooxob,xxxoxo,obbbbb,1
bbbbbb,xoxoxb,xobbbb,oxxxox,oooxob,xxxoxo,obbbbb,6
bbbbbb,xoxoxb,xobbbb,oxxxox,oooxox,xxxoxo,oobbbb,2
bbbbbb,xoxoxx,xoobbb,oxxxox,oooxox,xxxoxo,oobbbb,6
bbbbbb,xoxoxx,xoobbb,oxxxox,oooxox,xxxoxo,oooxbb,2
bbbbbb,xoxoxx,xoooxb,oxxxox,oooxox,xxxoxo,oooxbb,2
xbbbbb,xoxoxx,xoooxo,oxxxox,oooxox,xxxoxo,oooxbb,0
xoxbbb,xoxoxx,xoooxo,oxxxox,oooxox,xxxoxo,oooxbb,0
xoxoxb,xoxoxx,xoooxo,oxxxox,oooxox,xxxoxo,oooxbb,0
xoxoxo,xoxoxx,xoooxo,oxxxox,oooxox,xxxoxo,oooxxb,6
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,5
bbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,obbbbb,xbbbbb,4
bbbbbb,bbbbbb,xxbbbb,bbbbbb,obbbbb,obbbbb,xbbbbb,4
bbbbbb,bbbbbb,xxxbbb,bbbbbb,oobbbb,obbbbb,xbbbbb,2
bbbbbb,bbbbbb,xxxoxb,bbbbbb,oobbbb,obbbbb,xbbbbb,4
bbbbbb,bbbbbb,xxxoxb,bbbbbb,oooxbb,obbbbb,xbbbbb,3
bbbbbb,xbbbbb,xxxoxb,obbbbb,oooxbb,obbbbb,xbbbbb,2
