col_0,col_1,col_2,col_3,col_4,col_5,col_6,suggested_move
ooxbbb,oxoxox,bbbbbb,xxxoxo,oxoxox,bbbbbb,oxbbbb,6
ooxbbb,oxoxox,bbbbbb,xxxoxo,oxoxox,bbbbbb,oxoxbb,0
ooxoxb,oxoxox,bbbbbb,xxxoxo,oxoxox,bbbbbb,oxoxbb,6
ooxoxb,oxoxox,bbbbbb,xxxoxo,oxoxox,bbbbbb,oxoxox,5
bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,1
bbbbbb,oxbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,6
xbbbbb,oxbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,obbbbb,5
xxbbbb,oxbbbb,bbbbbb,xbbbbb,bbbbbb,obbbbb,obbbbb,3
xxxbbb,oxbbbb,bbbbbb,xobbbb,bbbbbb,obbbbb,obbbbb,0
xxxoxb,oxbbbb,bbbbbb,xobbbb,bbbbbb,obbbbb,obbbbb,0
xxxoxo,oxbbbb,bbbbbb,xobbbb,bbbbbb,obbbbb,oxbbbb,5
xxxoxo,oxbbbb,bbbbbb,xobbbb,xbbbbb,oobbbb,oxbbbb,5
xxxoxo,oxbbbb,bbbbbb,xobbbb,xbbbbb,oooxbb,oxbbbb,4
xxxoxo,oxxbbb,bbbbbb,xobbbb,xobbbb,oooxbb,oxbbbb,2
xxxoxo,oxxbbb,oxbbbb,xobbbb,xobbbb,oooxbb,oxbbbb,3
xxxoxo,oxxxbb,oxbbbb,xoobbb,xobbbb,oooxbb,oxbbbb,1
xxxoxo,oxxxob,oxbbbb,xoobbb,xoxbbb,oooxbb,oxbbbb,3
xxxoxo,oxxxob,oxbbbb,xoooxb,xoxbbb,oooxbb,oxbbbb,3
xxxoxo,oxxxob,oxbbbb,xoooxo,xoxxbb,oooxbb,oxbbbb,4
xxxoxo,oxxxob,oxbbbb,xoooxo,xoxxob,oooxbb,oxxbbb,6
xxxoxo,oxxxob,oxbbbb,xoooxo,xoxxob,oooxbb,oxxoxb,6
xxxoxo,oxxxob,oxbbbb,xoooxo,xoxxob,oooxxb,oxxoxo,5
xxxoxo,oxxxob,oxxbbb,xoooxo,xoxxob,oooxxo,oxxoxo,2
xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,3
xbbbbb,bbbbbb,bbbbbb,oxbbbb,bbbbbb,bbbbbb,bbbbbb,3
xbbbbb,bbbbbb,bbbbbb,oxobbb,xbbbbb,bbbbbb,bbbbbb,0
xobbbb,xbbbbb,bbbbbb,oxobbb,xbbbbb,bbbbbb,bbbbbb,0
xoobbb,xbbbbb,bbbbbb,oxobbb,xxbbbb,bbbbbb,bbbbbb,0
xoooxb,xbbbbb,bbbbbb,oxobbb,xxbbbb,bbbbbb,bbbbbb,0
xoooxo,xbbbbb,bbbbbb,oxobbb,xxxbbb,bbbbbb,bbbbbb,4
xoooxo,xxbbbb,bbbbbb,oxobbb,xxxobb,bbbbbb,bbbbbb,1
xoooxo,xxobbb,bbbbbb,oxobbb,xxxoxb,bbbbbb,bbbbbb,4
xoooxo,xxoxbb,bbbbbb,oxobbb,xxxoxo,bbbbbb,bbbbbb,3
xoooxo,xxoxbb,bbbbbb,oxooxb,xxxoxo,bbbbbb,bbbbbb,1
xoooxo,xxoxox,bbbbbb,oxooxb,xxxoxo,bbbbbb,bbbbbb,3
xoooxo,xxoxox,bbbbbb,oxooxo,xxxoxo,bbbbbb,xbbbbb,6
xoooxo,xxoxox,bbbbbb,oxooxo,xxxoxo,xbbbbb,xobbbb,5
xoooxo,xxoxox,bbbbbb,oxooxo,xxxoxo,xoxbbb,xobbbb,5
xoooxo,xxoxox,bbbbbb,oxooxo,xxxoxo,xoxoxb,xobbbb,5
xoooxo,xxoxox,bbbbbb,oxooxo,xxxoxo,xoxoxo,xoxbbb,6
bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,2
bbbbbb,xbbbbb,obbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,5
bbbbbb,xbbbbb,obbbbb,xbbbbb,xbbbbb,obbbbb,bbbbbb,4
bbbbbb,xxbbbb,obbbbb,xbbbbb,xobbbb,obbbbb,bbbbbb,0
obbbbb,xxxbbb,obbbbb,xbbbbb,xobbbb,obbbbb,bbbbbb,1
obbbbb,xxxobb,obbbbb,xbbbbb,xobbbb,oxbbbb,bbbbbb,1
obbbbb,xxxoob,oxbbbb,xbbbbb,xobbbb,oxbbbb,bbbbbb,1
oxbbbb,xxxooo,oxbbbb,xbbbbb,xobbbb,oxbbbb,bbbbbb,3
oxxbbb,xxxooo,oxbbbb,xobbbb,xobbbb,oxbbbb,bbbbbb,0
oxxobb,xxxooo,oxxbbb,xobbbb,xobbbb,oxbbbb,bbbbbb,3
oxxobb,xxxooo,oxxxbb,xoobbb,xobbbb,oxbbbb,bbbbbb,2
oxxoxb,xxxooo,oxxxob,xoobbb,xobbbb,oxbbbb,bbbbbb,4
oxxoxb,xxxooo,oxxxob,xooxbb,xoobbb,oxbbbb,bbbbbb,3
oxxoxb,xxxooo,oxxxob,xooxob,xoobbb,oxbbbb,xbbbbb,2
oxxoxb,xxxooo,oxxxoo,xooxob,xoobbb,oxbbbb,xxbbbb,5
oxxoxb,xxxooo,oxxxoo,xooxob,xoobbb,oxobbb,xxxbbb,4
bbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,1
bbbbbb,obbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,4
bbbbbb,obbbbb,xbbbbb,xbbbbb,obbbbb,bbbbbb,xbbbbb,5
bbbbbb,obbbbb,xxbbbb,xbbbbb,obbbbb,obbbbb,xbbbbb,0
obbbbb,obbbbb,xxxbbb,xbbbbb,obbbbb,obbbbb,xbbbbb,2
obbbbb,obbbbb,xxxoxb,xbbbbb,obbbbb,obbbbb,xbbbbb,4
obbbbb,obbbbb,xxxoxb,xbbbbb,oobbbb,oxbbbb,xbbbbb,4
obbbbb,obbbbb,xxxoxb,xbbbbb,oooxbb,oxbbbb,xbbbbb,3
obbbbb,obbbbb,xxxoxb,xoxbbb,oooxbb,oxbbbb,xbbbbb,2
obbbbb,obbbbb,xxxoxo,xoxbbb,oooxbb,oxxbbb,xbbbbb,4
obbbbb,obbbbb,xxxoxo,xoxbbb,oooxob,oxxxbb,xbbbbb,5
obbbbb,obbbbb,xxxoxo,xoxbbb,oooxox,oxxxob,xbbbbb,6
obbbbb,obbbbb,xxxoxo,xoxbbb,oooxox,oxxxox,xobbbb,3
obbbbb,obbbbb,xxxoxo,xoxoxb,oooxox,oxxxox,xobbbb,3
oxbbbb,obbbbb,xxxoxo,xoxoxo,oooxox,oxxxox,xobbbb,6
oxxbbb,obbbbb,xxxoxo,xoxoxo,oooxox,oxxxox,xoobbb,0
oxxobb,obbbbb,xxxoxo,xoxoxo,oooxox,oxxxox,xooxbb,6
oxxobb,obbbbb,xxxoxo,xoxoxo,oooxox,oxxxox,xooxox,0
oxxoox,obbbbb,xxxoxo,xoxoxo,oooxox,oxxxox,xooxox,1
xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,3
xbbbbb,bbbbbb,bbbbbb,obbbbb,bbbbbb,xbbbbb,bbbbbb,4
xbbbbb,xbbbbb,bbbbbb,obbbbb,obbbbb,xbbbbb,bbbbbb,4
xbbbbb,xbbbbb,bbbbbb,obbbbb,oobbbb,xxbbbb,bbbbbb,4
xbbbbb,xbbbbb,bbbbbb,obbbbb,oooxbb,xxbbbb,bbbbbb,4
xbbbbb,xbbbbb,bbbbbb,obbbbb,oooxob,xxxbbb,bbbbbb,5
xbbbbb,xbbbbb,xbbbbb,obbbbb,oooxob,xxxobb,bbbbbb,4
xbbbbb,xbbbbb,xbbbbb,obbbbb,oooxoo,xxxoxb,bbbbbb,5
xbbbbb,xbbbbb,xxbbbb,obbbbb,oooxoo,xxxoxo,bbbbbb,2
xbbbbb,xbbbbb,xxoxbb,obbbbb,oooxoo,xxxoxo,bbbbbb,2
xxbbbb,xbbbbb,xxoxob,obbbbb,oooxoo,xxxoxo,bbbbbb,1
xxbbbb,xobbbb,xxoxox,obbbbb,oooxoo,xxxoxo,bbbbbb,1
xxbbbb,xooxbb,xxoxox,obbbbb,oooxoo,xxxoxo,bbbbbb,0
xxobbb,xooxxb,xxoxox,obbbbb,oooxoo,xxxoxo,bbbbbb,0
xxooxb,xooxxb,xxoxox,obbbbb,oooxoo,xxxoxo,bbbbbb,0
xxooxo,xooxxb,xxoxox,obbbbb,oooxoo,xxxoxo,xbbbbb,1
xxooxo,xooxxo,xxoxox,obbbbb,oooxoo,xxxoxo,xxbbbb,6
xxooxo,xooxxo,xxoxox,obbbbb,oooxoo,xxxoxo,xxoxbb,6
xxooxo,xooxxo,xxoxox,oxbbbb,oooxoo,xxxoxo,xxoxob,3
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,2
bbbbbb,xbbbbb,obbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,4
bbbbbb,xbbbbb,obbbbb,bbbbbb,obbbbb,bbbbbb,xxbbbb,5
bbbbbb,xbbbbb,obbbbb,bbbbbb,obbbbb,obbbbb,xxxbbb,3
bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,4
bbbbbb,bbbbbb,bbbbbb,xbbbbb,obbbbb,bbbbbb,xbbbbb,1
bbbbbb,obbbbb,bbbbbb,xxbbbb,obbbbb,bbbbbb,xbbbbb,5
bbbbbb,obbbbb,bbbbbb,xxxbbb,obbbbb,obbbbb,xbbbbb,3
bbbbbb,obbbbb,bbbbbb,xxxoxb,obbbbb,obbbbb,xbbbbb,3
bbbbbb,obbbbb,bbbbbb,xxxoxo,obbbbb,oxbbbb,xbbbbb,6
bbbbbb,obbbbb,bbbbbb,xxxoxo,oxbbbb,oxbbbb,xobbbb,0
obbbbb,obbbbb,xbbbbb,xxxoxo,oxbbbb,oxbbbb,xobbbb,2
obbbbb,obbbbb,xobbbb,xxxoxo,oxbbbb,oxxbbb,xobbbb,2
obbbbb,oxbbbb,xoobbb,xxxoxo,oxbbbb,oxxbbb,xobbbb,2
obbbbb,oxbbbb,xoooxb,xxxoxo,oxbbbb,oxxbbb,xobbbb,4
obbbbb,oxbbbb,xoooxb,xxxoxo,oxoxbb,oxxbbb,xobbbb,2
obbbbb,oxbbbb,xoooxo,xxxoxo,oxoxbb,oxxxbb,xobbbb,5
obbbbb,oxbbbb,xoooxo,xxxoxo,oxoxbb,oxxxox,xobbbb,0
oobbbb,oxbbbb,xoooxo,xxxoxo,oxoxxb,oxxxox,xobbbb,0
oooxbb,oxbbbb,xoooxo,xxxoxo,oxoxxb,oxxxox,xobbbb,0
oooxox,oxbbbb,xoooxo,xxxoxo,oxoxxb,oxxxox,xobbbb,1
oooxox,oxobbb,xoooxo,xxxoxo,oxoxxx,oxxxox,xobbbb,1
xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,1
xbbbbb,obbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,5
xbbbbb,obbbbb,xbbbbb,bbbbbb,bbbbbb,obbbbb,xbbbbb,4
xbbbbb,oxbbbb,xbbbbb,bbbbbb,obbbbb,obbbbb,xbbbbb,0
xobbbb,oxxbbb,xbbbbb,bbbbbb,obbbbb,obbbbb,xbbbbb,6
xobbbb,oxxxbb,xbbbbb,bbbbbb,obbbbb,obbbbb,xobbbb,1
xobbbb,oxxxob,xxbbbb,bbbbbb,obbbbb,obbbbb,xobbbb,1
xobbbb,oxxxoo,xxxbbb,bbbbbb,obbbbb,obbbbb,xobbbb,2
xobbbb,oxxxoo,xxxobb,bbbbbb,oxbbbb,obbbbb,xobbbb,4
xobbbb,oxxxoo,xxxobb,xbbbbb,oxobbb,obbbbb,xobbbb,3
xobbbb,oxxxoo,xxxobb,xoxbbb,oxobbb,obbbbb,xobbbb,3
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,6
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xoxbbb,3
xbbbbb,bbbbbb,bbbbbb,obbbbb,bbbbbb,bbbbbb,xoxbbb,3
xbbbbb,bbbbbb,bbbbbb,oobbbb,bbbbbb,xbbbbb,xoxbbb,3
xbbbbb,bbbbbb,bbbbbb,oooxbb,bbbbbb,xbbbbb,xoxbbb,5
xbbbbb,bbbbbb,bbbbbb,oooxxb,bbbbbb,xobbbb,xoxbbb,4
xbbbbb,bbbbbb,bbbbbb,oooxxb,oxbbbb,xobbbb,xoxbbb,1
xbbbbb,obbbbb,xbbbbb,oooxxb,oxbbbb,xobbbb,xoxbbb,2
xbbbbb,oxbbbb,xobbbb,oooxxb,oxbbbb,xobbbb,xoxbbb,2
xbbbbb,oxbbbb,xoobbb,oooxxb,oxbbbb,xoxbbb,xoxbbb,1
xbbbbb,oxoxbb,xoobbb,oooxxb,oxbbbb,xoxbbb,xoxbbb,4
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,6
bbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,xbbbbb,obbbbb,3
bbbbbb,bbbbbb,xbbbbb,oxbbbb,bbbbbb,xbbbbb,obbbbb,0
obbbbb,bbbbbb,xbbbbb,oxbbbb,bbbbbb,xbbbbb,oxbbbb,0
oobbbb,bbbbbb,xbbbbb,oxbbbb,bbbbbb,xxbbbb,oxbbbb,0
oooxbb,bbbbbb,xbbbbb,oxbbbb,bbbbbb,xxbbbb,oxbbbb,0
oooxob,bbbbbb,xbbbbb,oxbbbb,bbbbbb,xxxbbb,oxbbbb,5
oooxob,bbbbbb,xbbbbb,oxbbbb,xbbbbb,xxxobb,oxbbbb,4
oooxox,bbbbbb,xbbbbb,oxbbbb,xobbbb,xxxobb,oxbbbb,5
oooxox,bbbbbb,xbbbbb,oxbbbb,xobbbb,xxxoox,oxbbbb,1
oooxox,oxbbbb,xbbbbb,oxbbbb,xobbbb,xxxoox,oxbbbb,1
oooxox,oxoxbb,xbbbbb,oxbbbb,xobbbb,xxxoox,oxbbbb,3
oooxox,oxoxxb,xbbbbb,oxobbb,xobbbb,xxxoox,oxbbbb,1
oooxox,oxoxxo,xbbbbb,oxobbb,xobbbb,xxxoox,oxxbbb,6
oooxox,oxoxxo,xbbbbb,oxobbb,xobbbb,xxxoox,oxxoxb,4
oooxox,oxoxxo,xbbbbb,oxobbb,xooxbb,xxxoox,oxxoxb,4
oooxox,oxoxxo,xbbbbb,oxobbb,xooxox,xxxoox,oxxoxb,6
oooxox,oxoxxo,xbbbbb,oxoxbb,xooxox,xxxoox,oxxoxo,3
oooxox,oxoxxo,xbbbbb,oxoxox,xooxox,xxxoox,oxxoxo,2
xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,5
xbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,obbbbb,bbbbbb,4
xbbbbb,xbbbbb,bbbbbb,xbbbbb,obbbbb,obbbbb,bbbbbb,2
xbbbbb,xbbbbb,obbbbb,xbbbbb,obbbbb,oxbbbb,bbbbbb,0
xobbbb,xbbbbb,obbbbb,xbbbbb,oxbbbb,oxbbbb,bbbbbb,5
xobbbb,xbbbbb,oxbbbb,xbbbbb,oxbbbb,oxobbb,bbbbbb,3
xobbbb,xbbbbb,oxbbbb,xoxbbb,oxbbbb,oxobbb,bbbbbb,5
xobbbb,xbbbbb,oxbbbb,xoxbbb,oxxbbb,oxoobb,bbbbbb,4
xobbbb,xbbbbb,oxbbbb,xoxbbb,oxxobb,oxoobb,xbbbbb,3
xobbbb,xbbbbb,oxbbbb,xoxobb,oxxoxb,oxoobb,xbbbbb,5
xobbbb,xbbbbb,oxbbbb,xoxobb,oxxoxb,oxooox,xbbbbb,2
xobbbb,xbbbbb,oxoxbb,xoxobb,oxxoxb,oxooox,xbbbbb,6
xobbbb,xbbbbb,oxoxbb,xoxoxb,oxxoxb,oxooox,xobbbb,4
xobbbb,xbbbbb,oxoxbb,xoxoxx,oxxoxo,oxooox,xobbbb,1
xoxbbb,xobbbb,oxoxbb,xoxoxx,oxxoxo,oxooox,xobbbb,0
xoxoxb,xobbbb,oxoxbb,xoxoxx,oxxoxo,oxooox,xobbbb,0
xoxoxo,xobbbb,oxoxxb,xoxoxx,oxxoxo,oxooox,xobbbb,2
xoxoxo,xobbbb,oxoxxo,xoxoxx,oxxoxo,oxooox,xoxbbb,6
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,0
obbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,xbbbbb,5
obbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,xobbbb,xbbbbb,3
obbbbb,xbbbbb,bbbbbb,obbbbb,xbbbbb,xobbbb,xbbbbb,2
obbbbb,xbbbbb,obbbbb,obbbbb,xxbbbb,xobbbb,xbbbbb,0
oobbbb,xbbbbb,obbbbb,obbbbb,xxxbbb,xobbbb,xbbbbb,4
oobbbb,xbbbbb,obbbbb,obbbbb,xxxoxb,xobbbb,xbbbbb,0
oooxbb,xbbbbb,obbbbb,obbbbb,xxxoxb,xobbbb,xbbbbb,4
oooxxb,xbbbbb,obbbbb,obbbbb,xxxoxo,xobbbb,xbbbbb,0
oooxxo,xxbbbb,obbbbb,obbbbb,xxxoxo,xobbbb,xbbbbb,6
oooxxo,xxxbbb,obbbbb,obbbbb,xxxoxo,xobbbb,xobbbb,1
oooxxo,xxxobb,oxbbbb,obbbbb,xxxoxo,xobbbb,xobbbb,3
oooxxo,xxxobb,oxbbbb,ooxbbb,xxxoxo,xobbbb,xobbbb,3
bbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,3
bbbbbb,bbbbbb,xbbbbb,obbbbb,bbbbbb,bbbbbb,xbbbbb,1
xbbbbb,obbbbb,xbbbbb,obbbbb,bbbbbb,bbbbbb,xbbbbb,5
xbbbbb,obbbbb,xbbbbb,obbbbb,bbbbbb,oxbbbb,xbbbbb,1
xbbbbb,ooxbbb,xbbbbb,obbbbb,bbbbbb,oxbbbb,xbbbbb,2
xbbbbb,ooxxbb,xobbbb,obbbbb,bbbbbb,oxbbbb,xbbbbb,3
xxbbbb,ooxxbb,xobbbb,oobbbb,bbbbbb,oxbbbb,xbbbbb,3
xxbbbb,ooxxbb,xobbbb,oooxbb,bbbbbb,oxbbbb,xbbbbb,4
xxbbbb,ooxxbb,xobbbb,oooxbb,oxbbbb,oxbbbb,xbbbbb,4
xxbbbb,ooxxbb,xobbbb,oooxbb,oxoxbb,oxbbbb,xbbbbb,5
xxbbbb,ooxxbb,xoxbbb,oooxbb,oxoxbb,oxobbb,xbbbbb,2
xxbbbb,ooxxxb,xoxobb,oooxbb,oxoxbb,oxobbb,xbbbbb,1
xxxbbb,ooxxxo,xoxobb,oooxbb,oxoxbb,oxobbb,xbbbbb,0
xxxobb,ooxxxo,xoxobb,oooxxb,oxoxbb,oxobbb,xbbbbb,6
xxxobb,ooxxxo,xoxobb,oooxxb,oxoxbb,oxobbb,xoxbbb,2
xxxobb,ooxxxo,xoxoob,oooxxb,oxoxbb,oxoxbb,xoxbbb,6
xxxobb,ooxxxo,xoxoob,oooxxb,oxoxxb,oxoxbb,xoxobb,3
xxxobb,ooxxxo,xoxoob,oooxxo,oxoxxb,oxoxxb,xoxobb,6
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,2
bbbbbb,xbbbbb,obbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,2
bbbbbb,xxbbbb,oobbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,2
bbbbbb,xxbbbb,oooxbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,2
bbbbbb,xxxbbb,oooxob,bbbbbb,bbbbbb,xbbbbb,bbbbbb,1
bbbbbb,xxxobb,oooxob,bbbbbb,xbbbbb,xbbbbb,bbbbbb,2
bbbbbb,xxxobb,oooxoo,xbbbbb,xbbbbb,xbbbbb,bbbbbb,6
bbbbbb,xxxoxb,oooxoo,xbbbbb,xbbbbb,xbbbbb,obbbbb,1
bbbbbb,xxxoxo,oooxoo,xbbbbb,xxbbbb,xbbbbb,obbbbb,4
xbbbbb,xxxoxo,oooxoo,xbbbbb,xxobbb,xbbbbb,obbbbb,4
xbbbbb,xxxoxo,oooxoo,xbbbbb,xxooxb,xbbbbb,obbbbb,0
xobbbb,xxxoxo,oooxoo,xbbbbb,xxooxx,xbbbbb,obbbbb,0
xoobbb,xxxoxo,oooxoo,xbbbbb,xxooxx,xxbbbb,obbbbb,6
xoobbb,xxxoxo,oooxoo,xbbbbb,xxooxx,xxbbbb,ooxbbb,5
xoobbb,xxxoxo,oooxoo,xbbbbb,xxooxx,xxoxbb,ooxbbb,5
xoobbb,xxxoxo,oooxoo,xbbbbb,xxooxx,xxoxob,ooxxbb,5
xooxbb,xxxoxo,oooxoo,xbbbbb,xxooxx,xxoxoo,ooxxbb,0
xooxob,xxxoxo,oooxoo,xxbbbb,xxooxx,xxoxoo,ooxxbb,3
